asset,side,entry_date,entry_px,exit_date,exit_px,exit_reason,return_net
EWA,long,1997-01-15 00:00:00,10.75,1997-04-02 00:00:00,10.361981031059052,stop,-0.0364947878084602
EWA,long,1997-04-28 00:00:00,10.88,1997-07-02 00:00:00,11.81,target,0.08507794117647056
EWA,long,1997-07-03 00:00:00,11.88,1997-07-07 00:00:00,11.5,stop,-0.032386531986532005
EWA,long,1997-07-08 00:00:00,11.44,1997-07-16 00:00:00,11.069429236238353,stop,-0.03279254927986423
EWA,long,1997-07-17 00:00:00,11.31,1997-08-25 00:00:00,10.805239194879617,stop,-0.04502960257474657
EWA,long,1998-03-23 00:00:00,10.44,1998-05-06 00:00:00,9.893407108433397,stop,-0.05275564095465539
EWA,long,1998-07-20 00:00:00,10.06,1998-07-27 00:00:00,9.490702085501834,stop,-0.056990249950115965
EWA,long,1998-11-03 00:00:00,9.313,1999-04-23 00:00:00,11.25,target,0.20758883281434554
EWA,long,1999-04-26 00:00:00,11.19,1999-05-20 00:00:00,10.643284955433963,stop,-0.049257466002326764
EWA,long,1999-05-21 00:00:00,10.69,1999-08-31 00:00:00,10.015773946842542,stop,-0.06347072527197921
EWA,long,1999-12-09 00:00:00,10.81,2000-01-28 00:00:00,10.21374650674404,stop,-0.0555575849450473
EWA,long,2000-02-03 00:00:00,10.75,2000-03-31 00:00:00,9.985249144771451,stop,-0.07153961443986494
EWA,long,2000-06-21 00:00:00,10.38,2000-09-08 00:00:00,9.685356030951043,stop,-0.06732138430144101
EWA,long,2001-01-04 00:00:00,9.813,2001-02-22 00:00:00,9.15,stop,-0.06796343625802508
EWA,long,2001-05-03 00:00:00,9.64,2001-07-26 00:00:00,9.131762607543111,stop,-0.053121721209220915
EWA,long,2001-08-02 00:00:00,9.68,2001-09-05 00:00:00,9.188747313492437,stop,-0.051149244473921815
EWA,long,2001-11-13 00:00:00,9.24,2002-07-24 00:00:00,8.7,stop,-0.058841558441558514
EWA,long,2002-12-02 00:00:00,9.62,2003-02-13 00:00:00,8.988141372652615,stop,-0.06608176999453057
EWA,long,2003-04-03 00:00:00,9.58,2003-06-12 00:00:00,11.256593470747438,target,0.17460975686298935
EWA,long,2003-06-13 00:00:00,11.2,2003-12-03 00:00:00,13.007483036770754,target,0.16098241399738872
EWA,long,2003-12-04 00:00:00,13.11,2004-05-10 00:00:00,12.32,stop,-0.06065934401220434
EWA,long,2004-07-07 00:00:00,13.82,2004-07-27 00:00:00,13.129264265136696,stop,-0.05038087806536211
EWA,long,2004-08-03 00:00:00,13.44,2004-10-29 00:00:00,15.477838939517776,target,0.15122492109507263
EWA,long,2004-11-01 00:00:00,15.49,2005-02-02 00:00:00,17.1,target,0.10353802453195611
EWA,long,2005-02-03 00:00:00,17.0,2005-04-18 00:00:00,16.28,stop,-0.04275294117647048
EWA,long,2005-06-10 00:00:00,17.57,2005-07-07 00:00:00,16.91,stop,-0.0379640295959021
EWA,long,2005-07-08 00:00:00,17.09,2005-09-14 00:00:00,19.27,target,0.12715997659449968
EWA,long,2005-09-15 00:00:00,19.21,2005-10-06 00:00:00,18.548781159298404,stop,-0.03482055391471088
EWA,long,2005-10-07 00:00:00,18.48,2006-04-05 00:00:00,20.799252752273382,target,0.1251006900580835
EWA,long,2006-04-06 00:00:00,20.9,2006-05-22 00:00:00,20.146812814819576,stop,-0.036437664362699615
EWA,long,2006-05-23 00:00:00,20.66,2006-06-13 00:00:00,19.208580407566032,stop,-0.07065264242177964
EWA,long,2006-07-12 00:00:00,21.18,2006-07-18 00:00:00,19.986084813243888,stop,-0.05676993327460393
EWA,long,2006-08-04 00:00:00,20.88,2006-12-04 00:00:00,24.136102911838755,target,0.15554362604591748
EWA,long,2006-12-05 00:00:00,23.63,2007-03-12 00:00:00,22.47878156158002,stop,-0.049118511994074396
EWA,long,2007-03-13 00:00:00,24.6,2007-09-27 00:00:00,31.45,target,0.2780552845528454
EWA,long,2007-09-28 00:00:00,31.72,2007-12-17 00:00:00,29.29,stop,-0.07700781841109709
EWA,long,2007-12-18 00:00:00,29.59,2008-01-16 00:00:00,26.73,stop,-0.09705427509293678
EWA,long,2008-05-07 00:00:00,28.24,2008-06-26 00:00:00,26.477740358129548,stop,-0.06280296182260807
EWA,long,2009-05-11 00:00:00,16.06,2009-09-08 00:00:00,21.26,target,0.3233858032378582
EWA,long,2009-09-09 00:00:00,21.23,2010-05-06 00:00:00,19.771430500939367,stop,-0.06910322652193283
EWA,long,2010-09-02 00:00:00,22.11,2011-04-01 00:00:00,26.937781248713694,target,0.21795283802413817
EWA,long,2011-04-04 00:00:00,26.84,2011-06-08 00:00:00,25.47984518336043,stop,-0.051076408965706796
EWA,long,2012-02-06 00:00:00,23.77,2012-04-10 00:00:00,22.587680784039765,stop,-0.05013997542954289
EWA,long,2012-04-13 00:00:00,23.43,2012-05-09 00:00:00,22.31047529861627,stop,-0.04818167739580574
EWA,long,2012-07-31 00:00:00,23.27,2013-02-19 00:00:00,27.12,target,0.16504907606360136
EWA,long,2013-02-20 00:00:00,27.19,2013-02-21 00:00:00,26.4427717806928,stop,-0.027881729286767177
EWA,long,2013-02-22 00:00:00,26.72,2013-05-23 00:00:00,25.74,stop,-0.03707664670658688
EWA,long,2013-05-24 00:00:00,25.01,2013-06-05 00:00:00,23.884663948819046,stop,-0.04539544386969034
EWA,long,2013-09-18 00:00:00,25.43,2013-12-05 00:00:00,24.50340748362528,stop,-0.03683698452122368
EWA,long,2014-02-25 00:00:00,25.21,2014-09-26 00:00:00,24.14,stop,-0.042843474811582724
EWA,long,2015-04-29 00:00:00,23.74,2015-05-07 00:00:00,22.757992372697743,stop,-0.04176510645755076
EWA,long,2016-03-11 00:00:00,19.59,2016-04-05 00:00:00,18.354945455356447,stop,-0.06344515286592926
EWA,long,2016-04-13 00:00:00,19.46,2016-06-27 00:00:00,18.297053679693263,stop,-0.060160859214118
EWA,long,2016-06-29 00:00:00,19.03,2017-03-30 00:00:00,22.8,target,0.19770825013137155
EWA,long,2017-03-31 00:00:00,22.62,2017-05-04 00:00:00,21.934150182786816,stop,-0.030720504739751787
EWA,long,2017-05-05 00:00:00,21.88,2017-06-21 00:00:00,21.15,stop,-0.033763802559414954
EWA,long,2017-07-25 00:00:00,22.66,2018-02-08 00:00:00,21.994637384025946,stop,-0.029762869195677544
EWA,long,2018-02-14 00:00:00,22.33,2018-10-08 00:00:00,21.24869963772878,stop,-0.0488236615437178
EWA,long,2019-03-18 00:00:00,21.42,2020-01-14 00:00:00,23.13,target,0.07943193277310918
EWA,long,2020-01-15 00:00:00,23.2,2020-01-30 00:00:00,22.666215465278697,stop,-0.023407954082814753
EWA,long,2020-01-31 00:00:00,22.56,2020-02-24 00:00:00,21.92,stop,-0.028768794326240955
EWA,long,2020-06-09 00:00:00,20.29,2020-06-15 00:00:00,18.62,stop,-0.08270655495317884
EWA,long,2020-07-22 00:00:00,20.37,2020-12-10 00:00:00,23.874541324295564,target,0.1716442476335573
EWA,long,2020-12-11 00:00:00,23.72,2021-05-07 00:00:00,26.533178188556843,target,0.11819941773005245
EWA,long,2021-05-10 00:00:00,27.11,2021-05-12 00:00:00,26.125388146201875,stop,-0.03671913883430926
EWA,long,2021-05-13 00:00:00,26.04,2021-07-19 00:00:00,24.978501624346034,stop,-0.041164146530490206
EWA,long,2021-08-12 00:00:00,26.42,2021-08-17 00:00:00,25.653177274244758,stop,-0.029424327242817672
EWA,long,2021-10-22 00:00:00,26.5,2021-11-17 00:00:00,25.525609893143347,stop,-0.037169437994590646
EWA,long,2022-03-21 00:00:00,25.61,2022-05-06 00:00:00,24.09,stop,-0.059751815696993324
EWA,long,2022-11-25 00:00:00,23.18,2023-03-15 00:00:00,21.821,stop,-0.059028127696289776
EWA,long,2023-04-13 00:00:00,23.51,2023-05-24 00:00:00,22.46,stop,-0.04506184602296896
EWA,long,2023-07-24 00:00:00,23.05,2023-08-08 00:00:00,22.161084396270976,stop,-0.03896466827457805
