asset,side,entry_date,entry_px,exit_date,exit_px,exit_reason,return_net
TLT,short,2003-07-16 00:00:00,87.41,2003-09-11 00:00:00,84.26,time,0.034843415903523314
TLT,short,2003-09-12 00:00:00,85.02,2003-09-30 00:00:00,87.61007845254179,stop,-0.031102438363733855
TLT,short,2003-10-01 00:00:00,87.5,2003-11-26 00:00:00,86.1,time,0.01480634920634922
TLT,short,2004-04-14 00:00:00,83.98,2004-06-10 00:00:00,81.36,time,0.030004253469269
TLT,short,2004-06-14 00:00:00,81.2,2004-06-17 00:00:00,82.75313879869005,stop,-0.01958684891654412
TLT,short,2004-06-18 00:00:00,82.76,2004-07-02 00:00:00,84.66,stop,-0.023556363399234215
TLT,short,2004-07-06 00:00:00,84.57,2004-08-06 00:00:00,86.41,stop,-0.02261347348209715
TLT,short,2005-03-23 00:00:00,87.53,2005-04-01 00:00:00,89.53,stop,-0.02336835642745614
TLT,short,2005-10-04 00:00:00,91.37,2005-11-30 00:00:00,90.3,time,0.010516976326848402
TLT,short,2005-12-01 00:00:00,90.0,2005-12-23 00:00:00,91.71449633960117,stop,-0.019767419646362284
TLT,short,2005-12-27 00:00:00,91.97,2006-02-24 00:00:00,91.44,time,0.004569097928758656
TLT,short,2006-03-07 00:00:00,88.4,2006-05-03 00:00:00,83.35,time,0.05593304603892853
TLT,short,2006-05-04 00:00:00,83.38,2006-05-22 00:00:00,84.88615004914709,stop,-0.018701780164301598
TLT,short,2006-05-23 00:00:00,84.27,2006-07-20 00:00:00,84.97,time,-0.009500284233783731
TLT,short,2007-01-29 00:00:00,87.06,2007-02-15 00:00:00,88.53,stop,-0.01754284346865316
TLT,short,2007-04-09 00:00:00,87.28,2007-04-19 00:00:00,88.66,stop,-0.016369912560196556
TLT,short,2007-04-23 00:00:00,88.14,2007-06-19 00:00:00,83.8,time,0.04804619490637192
TLT,short,2007-06-20 00:00:00,84.02,2007-07-20 00:00:00,85.94845657564055,stop,-0.023769018197737225
TLT,short,2007-07-23 00:00:00,85.69,2007-07-27 00:00:00,87.50918158395989,stop,-0.021709165335636493
TLT,short,2007-07-30 00:00:00,87.19,2007-08-30 00:00:00,88.92349866843655,stop,-0.020738201120978753
TLT,short,2008-05-07 00:00:00,90.84,2008-07-03 00:00:00,91.71,time,-0.010770929525486797
TLT,short,2008-07-07 00:00:00,92.07,2008-08-28 00:00:00,94.34192353020974,stop,-0.025830013982324387
TLT,short,2009-04-27 00:00:00,101.07,2009-06-23 00:00:00,92.77,time,0.08092765127422293
TLT,short,2009-06-24 00:00:00,93.65,2009-08-20 00:00:00,95.38,time,-0.01966668870075155
TLT,short,2009-08-21 00:00:00,95.64,2009-10-01 00:00:00,99.24273543727377,stop,-0.0386253112777823
TLT,short,2009-11-05 00:00:00,92.87,2009-11-25 00:00:00,95.91367318643844,stop,-0.03345125884204436
TLT,short,2009-11-27 00:00:00,96.4,2010-01-27 00:00:00,91.75,time,0.04704286372917084
TLT,short,2010-01-28 00:00:00,91.13,2010-03-26 00:00:00,88.54,time,0.027227286329140683
TLT,short,2010-03-29 00:00:00,88.78,2010-04-21 00:00:00,90.70674469274788,stop,-0.022419923628429796
TLT,short,2010-04-22 00:00:00,90.9,2010-05-04 00:00:00,92.81,stop,-0.021570831368851143
TLT,short,2010-11-10 00:00:00,96.35,2011-01-07 00:00:00,91.51,time,0.049039872818180966
TLT,short,2011-01-10 00:00:00,92.58,2011-03-09 00:00:00,90.09,time,0.02570200701581122
TLT,short,2011-03-10 00:00:00,90.87,2011-03-16 00:00:00,93.37,stop,-0.02799119516630255
TLT,short,2011-03-17 00:00:00,93.24,2011-05-13 00:00:00,94.65,time,-0.016315915915916124
TLT,short,2012-03-15 00:00:00,110.9,2012-04-09 00:00:00,115.54,stop,-0.042556955358037475
TLT,short,2012-09-17 00:00:00,118.87,2012-09-25 00:00:00,122.96014770985315,stop,-0.03492762598072971
TLT,short,2012-10-08 00:00:00,121.98,2012-11-08 00:00:00,125.46744761722557,stop,-0.029406989811654217
TLT,short,2012-12-20 00:00:00,121.29,2013-02-20 00:00:00,115.69,time,0.04497668476575241
TLT,short,2013-02-21 00:00:00,116.9,2013-02-26 00:00:00,119.5195273143912,stop,-0.022867798526300453
TLT,short,2013-02-27 00:00:00,119.49,2013-04-05 00:00:00,122.88,stop,-0.029286447959382934
TLT,short,2013-04-09 00:00:00,122.03,2013-06-05 00:00:00,114.29,time,0.06223337534746205
TLT,short,2013-06-06 00:00:00,114.88,2013-08-02 00:00:00,106.01,time,0.0760173519918645
TLT,short,2013-08-05 00:00:00,106.19,2013-10-01 00:00:00,105.9,time,0.0015373031568152813
TLT,short,2013-10-02 00:00:00,105.93,2013-10-23 00:00:00,108.55267398971934,stop,-0.025456176488564287
TLT,short,2013-10-24 00:00:00,108.61,2013-12-20 00:00:00,103.72,time,0.04382982770740802
TLT,short,2013-12-23 00:00:00,104.05,2014-01-23 00:00:00,106.29617152156635,stop,-0.022384249919327682
TLT,short,2015-05-05 00:00:00,122.86,2015-07-01 00:00:00,115.82,time,0.056107342206512104
TLT,short,2015-07-02 00:00:00,116.32,2015-07-08 00:00:00,120.56728601810225,stop,-0.036973330705175896
TLT,short,2015-07-09 00:00:00,118.7,2015-08-03 00:00:00,123.02559443885409,stop,-0.037178703768043574
TLT,short,2015-08-04 00:00:00,123.16,2015-08-21 00:00:00,126.46885807892389,stop,-0.027524273621641296
TLT,short,2015-11-09 00:00:00,118.1,2015-11-25 00:00:00,121.21121047654574,stop,-0.026981960407830654
TLT,short,2015-11-27 00:00:00,121.25,2015-12-11 00:00:00,123.7531067738871,stop,-0.021242592276862916
TLT,short,2015-12-15 00:00:00,121.02,2016-01-13 00:00:00,124.34710575528824,stop,-0.028269181741330866
TLT,short,2016-10-17 00:00:00,132.1,2016-12-13 00:00:00,118.4,time,0.10251566033428257
TLT,short,2016-12-14 00:00:00,119.08,2017-01-12 00:00:00,122.8,stop,-0.032016486982207604
