asset,side,entry_date,entry_px,exit_date,exit_px,exit_reason,return_net,notional_frac
EMB,long,2024-01-17 00:00:00,87.4,2024-03-14 00:00:00,89.08,time,0.01882196796338671,1.0
EMB,long,2024-03-15 00:00:00,88.47,2024-04-15 00:00:00,87.07320516878254,stop,-0.016188344424295998,1.0
EMB,long,2024-04-16 00:00:00,86.64,2024-06-12 00:00:00,89.39,time,0.03134053554939982,1.0
EMB,long,2024-06-13 00:00:00,89.44,2024-07-01 00:00:00,87.51,stop,-0.021978711985688616,1.0
EMB,long,2024-07-02 00:00:00,87.54,2024-08-28 00:00:00,92.25,time,0.05340397532556547,1.0
EMB,long,2024-08-29 00:00:00,92.09,2024-10-25 00:00:00,91.69,time,-0.004743576935606497,1.0
EMB,long,2024-12-11 00:00:00,92.27,2024-12-18 00:00:00,90.62,stop,-0.018282301939958768,1.0
EMB,long,2025-01-30 00:00:00,90.87,2025-03-28 00:00:00,90.58,time,-0.0035913722900848153,1.0
EMB,long,2025-03-31 00:00:00,90.23,2025-04-04 00:00:00,89.08302635639457,stop,-0.013111666226370765,1.0
EMB,long,2025-05-16 00:00:00,90.52,2025-07-16 00:00:00,91.48,time,0.01020539107379599,1.0
EMB,long,2025-07-17 00:00:00,91.6,2025-09-12 00:00:00,95.42,time,0.04130305676855901,1.0
EMB,long,2025-09-15 00:00:00,95.38,2025-11-10 00:00:00,95.94,time,0.005471251834766333,1.0
EMB,long,2025-11-11 00:00:00,96.27,2026-01-09 00:00:00,96.19,time,-0.001230996156642727,1.0
EMB,long,2026-01-15 00:00:00,96.44,2026-03-06 00:00:00,95.54259988019326,stop,-0.009705268766142016,1.0
EMB,long,2026-03-09 00:00:00,95.09,2026-03-20 00:00:00,93.70711750921917,stop,-0.014942880332115148,1.0
EMB,long,2026-04-20 00:00:00,96.62,2026-05-18 00:00:00,94.55172217942325,stop,-0.021806311535673296,1.0
EMB,long,2026-05-19 00:00:00,94.37,2026-07-17 00:00:00,95.67,time,0.013375564268305508,1.0
