asset,side,entry_date,entry_px,exit_date,exit_px,exit_reason,return_net
BTCUSD,long,2019-04-03,4857.19,2019-05-13,6968.24,time,0.4316237227697496
ETHUSD,long,2019-04-09,178.71,2019-04-11,159.80715284218235,stop,-0.108773863565652
ETHUSD,long,2019-05-12,190.2,2019-06-21,271.27,time,0.42323554153522613
BTCUSD,long,2019-05-14,7795.62,2019-05-17,7055.5678871031405,stop,-0.0979317838602779
BTCUSD,long,2019-05-27,8612.54,2019-06-04,7638.19904539338,stop,-0.11613049978364343
BTCUSD,long,2019-06-21,9518.06,2019-07-31,9575.0,time,0.0029823115214656663
ETHUSD,long,2019-06-22,294.25,2019-07-11,264.4544284985372,stop,-0.10425937638560001
ETHUSD,short,2019-08-29,173.03,2019-09-16,197.0649566371785,stop,-0.1419062973887678
BTCUSD,short,2019-11-23,7268.23,2020-01-02,7200.77,time,0.0062814894410330195
ETHUSD,short,2019-11-23,149.55,2020-01-02,130.72,time,0.12291106653293216
ETHUSD,long,2020-02-06,203.78,2020-03-11,184.51237830466502,stop,-0.09755109282233276
BTCUSD,long,2020-02-07,9772.0,2020-02-26,9078.162303097277,stop,-0.07400262964620585
ETHUSD,long,2020-07-23,263.75,2020-09-01,433.8,time,0.641739336492891
BTCUSD,long,2020-07-28,11029.96,2020-09-03,10400.120543317087,stop,-0.060102605692397115
ETHUSD,long,2020-09-02,475.4,2020-09-03,423.18130776862034,stop,-0.11284159072650324
BTCUSD,long,2020-10-22,12780.75,2020-12-01,19695.87,time,0.538057449680183
ETHUSD,long,2020-11-21,510.12,2020-12-31,752.17,time,0.47149619697326106
BTCUSD,long,2020-12-17,21335.52,2021-01-26,32254.19,time,0.5087602008294149
ETHUSD,long,2021-01-03,774.44,2021-02-12,1785.83,time,1.30296301843913
BTCUSD,long,2021-02-09,46374.86,2021-03-21,58100.02,time,0.2498344020876827
ETHUSD,long,2021-02-13,1840.24,2021-02-23,1548.1711919040233,stop,-0.16171234626786546
ETHUSD,long,2021-04-03,2133.69,2021-05-13,3810.15,time,0.7827092642323862
BTCUSD,long,2021-04-14,63575.01,2021-04-18,57916.31159862547,stop,-0.0920082188170247
BTCUSD,short,2021-05-20,36671.23,2021-06-29,34494.89,time,0.0563473412263511
ETHUSD,long,2021-09-01,3429.19,2021-09-07,3051.0267798728073,stop,-0.11327770993359731
BTCUSD,long,2021-09-06,51756.88,2021-09-07,47435.75587753381,stop,-0.08648888345793226
BTCUSD,long,2021-10-07,55315.0,2021-11-16,63606.73,time,0.14690020790020786
ETHUSD,long,2021-10-21,4161.37,2021-11-30,4444.54,time,0.0650473017299592
BTCUSD,short,2022-01-22,36445.31,2022-02-04,40999.69350805996,stop,-0.12796487224446607
ETHUSD,short,2022-01-22,2567.47,2022-02-05,3042.0830343062285,stop,-0.18785631158542404
BTCUSD,short,2022-05-09,34038.39,2022-06-18,20468.81,time,0.3956551655351501
ETHUSD,short,2022-05-10,2229.0,2022-06-19,995.12,time,0.5505576491700314
BTCUSD,short,2022-06-19,18970.79,2022-07-19,22991.601178118573,stop,-0.21494748231984928
BTCUSD,short,2022-11-10,15922.68,2022-12-13,17891.543591935013,stop,-0.12665152046860284
BTCUSD,long,2023-01-21,22666.0,2023-03-02,23629.76,time,0.03952007411982705
BTCUSD,long,2023-03-18,27395.13,2023-04-27,28415.29,time,0.0342387354978787
ETHUSD,long,2023-03-18,1789.26,2023-04-27,1866.01,time,0.03989482802946476
BTCUSD,long,2023-10-24,33069.99,2023-12-03,39450.35,time,0.18993504473391132
ETHUSD,long,2023-11-06,1891.71,2023-12-16,2220.51,time,0.17081099640008246
