asset,side,entry_date,entry_px,exit_date,exit_px,exit_reason,return_net,notional_frac
DIA,long,2024-01-29 00:00:00,381.0,2024-02-22 00:00:00,389.8397693553202,target,0.022801494370919117,1.0
DIA,long,2024-02-23 00:00:00,391.77,2024-03-05 00:00:00,386.82399023096656,stop,-0.0130247792557711,1.0
DIA,long,2024-03-21 00:00:00,396.31,2024-04-02 00:00:00,391.36217156452767,stop,-0.01288474284139267,1.0
DIA,long,2024-05-09 00:00:00,390.11,2024-05-29 00:00:00,384.43978463873424,stop,-0.014934914155663214,1.0
DIA,long,2024-07-11 00:00:00,397.5,2024-07-16 00:00:00,408.04722126979163,target,0.026133889986897207,1.0
DIA,long,2024-07-17 00:00:00,408.56,2024-07-19 00:00:00,402.80916328240164,stop,-0.014475868214211806,1.0
DIA,long,2024-08-27 00:00:00,412.29,2024-09-06 00:00:00,405.4636168081322,stop,-0.016957236876634908,1.0
DIA,long,2024-09-17 00:00:00,418.29,2024-11-06 00:00:00,434.66,target,0.03873552798297837,1.0
DIA,long,2024-11-07 00:00:00,437.53,2024-11-19 00:00:00,430.0586324602074,stop,-0.01747624057731494,1.0
DIA,long,2024-11-26 00:00:00,446.56,2024-12-13 00:00:00,439.6606674653815,stop,-0.015849956410378275,1.0
DIA,long,2025-01-22 00:00:00,441.49,2025-02-21 00:00:00,433.99588303214057,stop,-0.01737460184343802,1.0
DIA,long,2025-05-13 00:00:00,422.68,2025-07-03 00:00:00,447.249923569435,target,0.05772890027783424,0.5511808405198532
DIA,long,2025-07-07 00:00:00,447.38,2025-07-15 00:00:00,440.3812540654146,stop,-0.016043850718819242,1.0
DIA,long,2025-07-24 00:00:00,447.01,2025-07-31 00:00:00,440.7707455258383,stop,-0.014357751446638022,1.0
DIA,long,2025-08-25 00:00:00,455.64,2025-10-03 00:00:00,468.6150547927093,target,0.028076549013934925,1.0
DIA,long,2025-10-06 00:00:00,468.315,2025-10-09 00:00:00,462.69375969813905,stop,-0.012403118204330309,1.0
DIA,long,2025-10-27 00:00:00,474.755,2025-11-07 00:00:00,467.2373787167644,stop,-0.016234738514045378,1.0
DIA,long,2025-11-13 00:00:00,481.4,2025-11-14 00:00:00,471.38,stop,-0.021214291649356,1.0
DIA,long,2025-12-12 00:00:00,488.7,2025-12-16 00:00:00,480.689915317789,stop,-0.016790596853306795,1.0
DIA,long,2026-01-06 00:00:00,489.33,2026-02-10 00:00:00,503.07430227936555,target,0.027688002532780764,1.0
DIA,long,2026-04-10 00:00:00,482.195,2026-05-22 00:00:00,507.01,target,0.05106258256514491,1.0
DIA,long,2026-05-26 00:00:00,507.57,2026-06-25 00:00:00,524.1966625328312,target,0.03235737835733228,1.0
DIA,long,2026-07-06 00:00:00,528.72,2026-07-17 00:00:00,519.6050241480367,stop,-0.017639703154719567,1.0
DIA,long,2026-08-05 00:00:00,543.3,2026-08-18 00:00:00,533.38,stop,-0.018658788882753453,1.0
