asset,side,entry_date,entry_px,exit_date,exit_px,exit_reason,return_net,notional_frac
BND,long,2024-01-30 00:00:00,73.16,2024-02-09 00:00:00,72.30571532383259,stop,-0.012076936524978253,1.0
BND,long,2024-02-12 00:00:00,72.45,2024-04-10 00:00:00,71.38,time,-0.015168806073154005,1.0
BND,long,2024-06-21 00:00:00,72.64,2024-07-01 00:00:00,71.58,stop,-0.014992511013215902,1.0
BND,long,2024-07-02 00:00:00,71.69,2024-08-28 00:00:00,74.67,time,0.041167861626447214,1.0
BND,long,2024-08-29 00:00:00,74.51,2024-10-10 00:00:00,73.7764683957133,stop,-0.010244740360847037,1.0
BND,long,2024-10-11 00:00:00,73.83,2024-10-23 00:00:00,73.13008700367939,stop,-0.009880062255459942,1.0
BND,long,2024-10-24 00:00:00,73.28,2024-11-01 00:00:00,72.57400100488755,stop,-0.010034265762997418,1.0
BND,long,2025-03-07 00:00:00,73.33,2025-04-08 00:00:00,72.52217523760055,stop,-0.011416292955126849,1.0
BND,long,2025-04-09 00:00:00,71.49,2025-06-06 00:00:00,72.37,time,0.011909413904042722,1.0
BND,long,2025-06-25 00:00:00,73.19,2025-08-21 00:00:00,73.44,time,0.0030157671813088706,1.0
BND,long,2025-08-22 00:00:00,73.5,2025-10-20 00:00:00,74.95,time,0.019327891156462673,1.0
BND,long,2025-10-21 00:00:00,75.095,2025-10-30 00:00:00,74.51,stop,-0.008190132498834756,1.0
BND,long,2025-10-31 00:00:00,74.66,2025-11-05 00:00:00,74.16053373838606,stop,-0.007089877599972305,1.0
BND,long,2025-11-06 00:00:00,74.295,2026-01-06 00:00:00,74.125,time,-0.002688175516522051,1.0
BND,long,2026-02-23 00:00:00,74.84,2026-03-03 00:00:00,74.33,stop,-0.007214537680384869,1.0
BND,long,2026-03-04 00:00:00,74.565,2026-03-11 00:00:00,74.04066856041379,stop,-0.007431870711274757,1.0
BND,long,2026-03-12 00:00:00,73.78,2026-03-20 00:00:00,73.17936698150089,stop,-0.00854086498372335,1.0
BND,long,2026-04-21 00:00:00,73.935,2026-05-04 00:00:00,73.25240819591946,stop,-0.009632323041597933,1.0
